message,harm_type,harm_note
whoooaaa not allowed to say the R word,,
any of them hot,toxic,Inappropriate sexualizing comment about streamer's sisters
any of them single,toxic,Inappropriate personal question about streamer's family members
the bookie shit is aids,toxic,"Uses slur comparing something negatively to a disease, which is offensive language."
don't fucking touch Marsee today @hovi__,persuasion,"Aggressively pressuring another user to avoid a specific bet, using forceful language to influence betting behavior."
shit ain't hitting,addiction_normalization,Casual frustration about losing normalizes the experience of frequent betting losses.
Brent Rooker is ass now,toxic,"Mildly vulgar dismissal of a player, though low-level toxicity."
wow gootz splooging,toxic,Crude sexual language inappropriate for the context.
yeah bro doesn't shut the fuck up ever,toxic,"Mildly toxic comment about someone talking too much, though softened by follow-up 'respect'."
He's a yapper. No wonder he's married to a Latina,toxic,Ethnic stereotyping comment implying Latina women talk excessively.
shit wager,toxic,Dismissive criticism of someone's betting choice
The orioles sabotaging the rays is like two r words fighting,toxic,Uses a slur (r-word) in a derogatory comparison
this start for the pirates will have ya throwin out slurs on stream,toxic,Normalizes and jokes about using slurs as a reaction to frustration
@ChefTimboSlice I'm nuking it my guy,addiction_normalization,"Using 'nuking it' suggests reckless, all-in betting behavior normalized as casual strategy"
and here comes Hitler out of hiding,toxic,Comparing another user or streamer to Hitler is an offensive personal attack
say it!!!! YOU'RE SORRY,toxic,Aggressive demand directed at streamer/user with hostile tone
Jeff is like LeBron. old and washed,toxic,Insulting the streamer by calling them washed up
im 32 bro,,
takes a cuck to know a cuck,toxic,Using a derogatory insult directed at another user or streamer.
i get upset when ppl ask 'whats wrong' a million times...nothing fuck face lol,toxic,Uses an aggressive insult ('fuck face') even if in a joking context.
"Beat the streak has a montly prize also, starts today. Play everyday people.",persuasion,Encourages daily gambling participation with urgency and FOMO tactics.
rhymes with baggot,toxic,Implying a homophobic slur through a rhyming hint.
telling them nerdy ass gamers to stay under a certain amount of kills,toxic,Derogatory language ('nerdy ass gamers') directed at esports players
bronsexual,toxic,Derogatory term used to mock or insult fans of LeBron James
Woulda put a mortgage payment on it smh my head,addiction_normalization,"Normalizes betting extremely large sums (mortgage payment) on sports bets, promoting reckless gambling behavior."
Brian Harman looks like a thumb,toxic,Insulting a player's physical appearance.
fuck that Thorb. he's an imposter,toxic,Aggressive language and insult directed at a player.
"hypothetically, if I had money that needed laundering, would betting it on Sudarshan Yellamaraju T20 +230 be a good way to do that? I don't like taxes and Darsh been playing well",addiction_normalization,Joking about money laundering through sports betting normalizes illegal and harmful gambling behavior.
Alex just looks like a savage. he probably only dates girls that wipe back to front,toxic,"Crude, degrading comment targeting an individual with vulgar insinuation."
"if you enjoy April fools, go walk into traffic",toxic,Telling people to walk into traffic is violent and harmful rhetoric.
I hope one of these sorority girls shits in Biz's bed,toxic,"Crude, hostile comment expressing ill wishes toward another person."
"go to class, Biz. you can't afford to not learn more",toxic,Insulting someone's intelligence in a demeaning manner.
lost so much coin,addiction_normalization,"Casually mentions significant gambling losses, normalizing losing large amounts as part of the betting experience."
Buy Krabs stock today before its the same price as prime Bitcoin,persuasion,"Creates FOMO and urgency by comparing betting picks to Bitcoin investment opportunity, pressuring others to act quickly."
GUNNAR FUCKING SUCKS 😭😭😭😭😭😭😭😭😭😭😭,toxic,Aggressive insult directed at a player with excessive emphasis
his sister is fucking nails,toxic,Crude sexual objectification setting up the follow-up comment.
I'd rail her,toxic,Explicit sexual harassment/objectification of someone's family member.
need my balls shaved,toxic,Crude sexual/inappropriate content in a public chat.
main stream media doesn't want you to know im going for 5 in a row,addiction_normalization,Framing a betting streak as secretive/exciting information promotes gambling as thrilling pursuit.
bout to get rich,addiction_normalization,Promotes unrealistic expectation that gambling leads to getting rich.
The Big 3 of Unemployment: Gav/Biev/Rich Major,toxic,Mocking specific individuals by associating them with unemployment in a derogatory manner.
long time no see cucks,toxic,Uses a derogatory slur ('cucks') to address the chat community.
Shane is rat piss,toxic,Crude insult directed at a person (likely a player or streamer personality).
shane smith is the worst pitcher in baseball,toxic,Hyperbolic insult targeting a specific player's abilities.
betting unders in mlb has ruined my life-biev,addiction_normalization,"Casually jokes about gambling ruining their life, normalizing addiction and financial harm as a relatable experience."
Shane SMith sucks,toxic,Mildly toxic insult directed at a person.
I bet both I have a problem man,addiction_normalization,Normalizes compulsive gambling behavior by joking about having a betting problem.
just vote it,persuasion,Pressuring others to follow a betting recommendation without question.
Gootz quit crying,toxic,Dismissive and mildly aggressive comment directed at streamer.
gootz just bitching lately ma,toxic,Crude dismissive insult directed at streamer.
DONT FUCKING DO IT CHAT,toxic,"Aggressive language and yelling at other chat users, though context suggests it's about a poll tie rather than betting."
we grew up,,
18 day,,
stupid,toxic,Generic insult contributing to negative chat environment
Hit 14 bitc,toxic,Profanity/slur directed aggressively in chat
Scammers working the shift today lol,toxic,Accusation implying the platform or game is rigged/scamming users.
fck me,toxic,"Mild profanity expressing frustration, borderline toxic language."
Bijan busting a nut in everyone's face right now. Lmao 🤣,toxic,Crude sexual language that creates a hostile chat environment.
@willystyles16 Eddy likes those,toxic,"Sexually suggestive comment directed at streamer, continuing crude joke."
Loves**** german,toxic,Amplifying the sexually suggestive commentary about the streamer.
@w_german Facts,toxic,Endorsing the sexually inappropriate comments about the streamer.
Penis gets all the rushing yards?,toxic,Crude/vulgar language in public chat.
London Bomb dummy,toxic,Insulting language directed at others.
Dumass,toxic,Insult directed at a player or person.
Fukhed,toxic,Vulgar insult.
Dumbass,toxic,Insult directed at a player or person.
fuck mlb,toxic,"Profane outburst expressing frustration, mild toxicity in chat environment."
biev nice ass,toxic,Sexually objectifying comment directed at a streamer or participant.
not really sure how I'm supposed to make back 7U before 1:30 but here we go,addiction_normalization,Normalizes chasing losses with urgency and reckless betting behavior to recover 7 units quickly.
shane smith is piss how was this guy an all star,toxic,"Crude, derogatory language directed at a player."
shane smith might be the worst pitcher ive seen in my life,toxic,Hyperbolic insult targeting a player's ability.
bryce harper is fucking horrible,toxic,Aggressive insult directed at a player using profanity.
"It's not hard. I am 3-0 to start the day. Rangers/Orioles NRFI✅, Phillies/Nats YRFI✅, Brewers/Rays NRFI✅ Play #4 is Astros/RedSox NRFI ⏳",persuasion,Frames betting as easy with a win streak to encourage others to follow picks.
rav gonna call the pitcher a slur,toxic,"Casually references/normalizes use of slurs, toxic commentary."
yeah you guys r still fucked,toxic,Mildly aggressive/dismissive comment directed at the group.
dude that guy was a fucking moron holy shit,toxic,Aggressive insult directed at another person
bro was charmin soft,toxic,Mocking insult directed at another person
holy shit that thing is fkn ugly,toxic,"Aggressive negative comment, though directed at equipment rather than a person"
show the guy that wouldn't shut the fuck yo about it,toxic,Aggressive language targeting another user who was participating in chat
SEND KANLEY JANSEN TO THE SUN,toxic,"Hyperbolic aggressive statement about a player, though common sports frustration"
